age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jailtime,disparity
0.046725035963221855,-0.16962181808794607,-0.0061768236387129615,-0.2787811354310476,-0.15463521568445276,-0.0002837999122074295,-0.0027564138001216097,1.0
0.04616214558797606,-0.17681469021268856,-0.08456880248661015,-0.28462498924945245,-0.15214854239433886,-0.0003085593167309775,-0.0029010432563796908,0.7999999999999997
0.045776410773983,-0.17105844158354103,-0.15839814590097828,-0.2814784183251185,-0.15284892863657173,-0.00031166716923366783,-0.002814522483004482,0.6000000000000005
0.0455802296381461,-0.17354013583883432,-0.23140628228214677,-0.27556299979899906,-0.15369987476084623,-0.00019374910469273105,-0.0028487059291726767,0.39999999999999986
0.04519406530001044,-0.17042770309880087,-0.30406652811032553,-0.2855421086254898,-0.1515293219071819,-0.00034547696895976957,-0.002826458188016929,0.19999999999999993
0.0454273654612981,-0.17009090630251003,-0.378344614728069,-0.2845246188808284,-0.15230111637970656,-0.0002727259926935418,-0.002811496010563495,0.0
0.046302077080891416,-0.16507116687085183,-0.45164172767554833,-0.27677140314265036,-0.1511838930484651,-0.0002908177958860163,-0.0029373415063791075,-0.2
0.046063265757154304,-0.17684983539411248,-0.5244205367581273,-0.2771900045035201,-0.1516839357523666,-0.00028630214677924533,-0.0027699893773720486,-0.3999999999999999
0.04603234265077853,-0.1838470963492973,-0.5986453149543787,-0.2835202052826029,-0.1484151852984389,-0.0003116408681938226,-0.0029111919168922002,-0.6000000000000005
0.04630181564550488,-0.1620187790285695,-0.6738145235539195,-0.28909550755178837,-0.1492151854720804,-0.00024577491636806605,-0.002876755044786718,-0.7999999999999997
0.0461408054829533,-0.17426045893882905,-0.7466606585931277,-0.2907043513358655,-0.14799661186230048,-0.0002353258965833833,-0.0028454286252489174,-1.0
